nombre,poblacion,superficie,continente
Argentina,45376763,2780400,America
Japon,125800000,377975,Asia
Brasil,213993437,8515767,America
Alemania,83149300,357022,Europa
Francia,67390000,551695,Europa
Canada,38250000,9984670,America
China,1412600000,9596961,Asia
India,1380004385,3287263,Asia
Australia,25788000,7692024,Oceania
Egipto,102334404,1002450,Africa
Nigeria,206139589,923768,Africa
Mexico,128932753,1964375,America
Uruguay,3382537,318413,America
Ghana,35697500,238533,África
Holanda,18450000,41500,Europa
